#,customer_id,created_at_date,order_number,amount
49,1xh60ckg8pkoveh6ls,2021-05-19 12:17:38.778000,GV57170,1400
50,3s7xdyenkofis7j4,2021-05-19 12:25:06.893000,GV57172,0.01
51,h7nclkov4d7wj,2021-05-19 12:24:07.571000,GV57171,1860
52,h7nclkovg8ewf,2021-05-19 12:44:17.783000,GV57175,600
53,hfblko8q4x0u,2021-05-19 12:30:25.560000,GV57173,1860
54,1xh60ckarvkk9nw3sn,2021-05-22 15:03:09.436000,GV57925,3300
55,1xh60cki7pkj2pwhd5,2021-05-19 12:48:27.262000,GV57177,3300
56,h7nclkovfbc2p,2021-05-19 12:38:26.582000,GV57174,1800
57,h7nclkou4w6cf,2021-05-19 12:55:51.210000,GV57179,3300
58,1xh60ck9lzkjzx8g5m,2021-05-19 12:50:46.452000,GV57178,1860
59,1xh60ckg8pkovgbmki,2021-05-19 12:48:28.568000,GV57176,1860
60,1xh60ck9lzkjmkyx6r,2021-05-19 13:06:41.861000,GV57182,660
61,1xh60ck9lzkjmn73jh,2021-03-31 06:08:13.270000,GV46776,1700
62,h7nclkovh316g,2021-05-19 13:04:12.672000,GV57181,1860
63,1xh60ckg8pkovh7mgv,2021-05-19 13:06:50.768000,GV57183,300
64,h7nclkouqi3id,2021-05-19 13:41:10.167000,GV57185,2210
65,1xh60cki7pkj2pq7eb,2021-05-19 14:14:30.203000,GV57191,3000
66,1xh60ckg8pkoviyhbk,2021-05-19 13:53:26.117000,GV57188,2210
67,eut2nkoyjashh,2021-05-22 16:02:23.162000,GV57935,2210
68,h7nclkoql3x9p,2021-05-19 13:55:16.078000,GV57190,660
69,3s7xdyenkoeua211,2021-05-19 14:23:26.992000,GV57193,3060
70,wsw4lkl3pi7rr,2021-05-19 14:24:27.793000,GV57194,3300
71,1xh60ck9hbkoutw6db,2021-05-19 02:23:26.826000,GV57058,560
72,h7nclkotywjmf,2021-05-19 02:17:17.266000,GV57057,600
73,1o8i1lkmx13anr,2021-03-31 07:53:11.078000,GV46793,1000
74,1xh60ck5rlkkkuses5,2021-05-19 14:43:00.740000,GV57196,5900
75,1xh60ck65ykmywa79x,2021-05-19 14:52:31.173000,GV57197,1800
76,h7nclkovlf0w7,2021-05-19 15:16:49.526000,GV57198,2150
77,h7nclkovmi493,2021-05-19 15:40:04.555000,GV57204,1200
78,h7nclkovkr6jd,2021-05-19 15:36:49.347000,GV57202,600
79,h7nclkovlyxlp,2021-05-19 15:38:32.525000,GV57203,1800
80,1xh60ckl4tkj5wsw8p,2021-05-19 15:40:14.932000,GV57205,2210
81,112sgpzlkq441mze,2021-05-22 16:56:10.786000,GV57950,1
82,h7nclkouvg54w,2021-05-19 03:04:20.947000,GV57065,600
83,h7nclkovmu3t8,2021-05-19 15:50:46.378000,GV57208,1400
84,vpnqlkm84y788,2021-05-19 15:57:05.600000,GV57209,600
85,1xh60cki7pkj2ppvwk,2021-05-19 03:00:16.094000,GV57064,3300
86,1xh60ckab2kluqo3hn,2021-03-10 03:20:31.475000,GV42265,1800
87,14cslkm2vfck8,2021-03-10 03:20:36.838000,GV42266,2050
88,vpnqlkm7akhpx,2021-03-13 10:10:41.540000,GV43037,1860
89,vpnqlkmbsasvw,2021-03-16 09:05:35.361000,GV43697,600
90,h7nclkouvkrrk,2021-05-19 03:17:27.581000,GV57066,3950
91,14cslkm2w8p1o,2021-03-10 03:44:21.204000,GV42267,2050
92,14cslklzag7ma,2021-03-13 10:12:50.333000,GV43038,2050
93,43oagmkkrtehh3,2021-03-13 10:14:58.135000,GV43039,1260
94,vpnqlkmbskr59,2021-03-16 09:14:47.682000,GV43698,1990
95,1xh60ck5rlkkwrkg23,2021-03-18 16:37:56.874000,GV44238,660
96,40im09hmkla9clh8,2021-03-10 04:05:21.898000,GV42268,300
97,vpnqlkm7jx6ev,2021-03-13 10:29:27.396000,GV43040,2050
98,14cslkm2xgk6d,2021-03-10 04:25:27.101000,GV42269,1800
99,14cslklzb9kme,2021-03-10 04:30:52.657000,GV42274,660
100,14cslkm29rsdn,2021-03-10 04:41:33.592000,GV42276,5900
101,vpnqlkm7kdbfr,2021-03-13 10:32:51.497000,GV43041,3300
102,14cslkm2wsiez,2021-03-10 04:26:32.667000,GV42270,1990
103,1xh60ckarvkkg86g86,2021-03-13 10:33:11.459000,GV43042,600
104,vpnqlkmbsuwt7,2021-03-16 09:20:39.943000,GV43699,1900
105,vpnqlkm81jtpc,2021-03-16 09:36:48.378000,GV43704,600
106,14cslklzfrmtq,2021-03-10 04:29:01.550000,GV42271,300
107,vpnqlkm7l5s36,2021-03-13 10:33:44.308000,GV43043,1260
108,3l0yflkljh2mx0,2021-03-16 09:25:35.815000,GV43700,1860
109,3iveimlkme7jdbd,2021-03-18 16:46:32.642000,GV44239,1860
110,14cslklw1z7ld,2021-05-19 16:21:01.392000,GV57216,660
111,3l0yflklnh9tlb,2021-05-24 19:35:54.325000,GV58467,1860
112,wsw4lkl6ugfaf,2021-05-24 19:08:30.667000,GV58466,500
113,h7nclkovo95oq,2021-05-19 16:31:00.240000,GV57218,2150
114,eut2nkp012gt7,2021-05-22 17:43:31.121000,GV57959,1460
115,1xh60ck5rlkl7myxpc,2021-05-22 17:54:11.961000,GV57962,3300
116,eut2nkoye235f,2021-05-22 17:56:30.418000,GV57965,1200
117,1dltlknm34fmq,2021-05-19 16:31:37.921000,GV57219,2210
118,1xh60ck1gpkp01dt6t,2021-05-22 17:46:53.424000,GV57960,2050
119,1xh60ckn2hkj8k3vfp,2021-05-22 17:50:47.491000,GV57961,1860
120,oyiimkp24hcvy,2021-05-24 20:06:46.549000,GV58470,300
121,h7nclkovjujek,2021-05-24 20:07:25.457000,GV58471,1460
122,oyiimkp30ucml,2021-05-24 19:51:01.143000,GV58469,500
123,h7nclkovoi4fc,2021-05-19 16:33:22.425000,GV57220,1860
124,1xh60ck1gpkp01po7y,2021-05-22 17:54:41.825000,GV57963,600
125,eut2nkozol3b0,2021-05-24 23:53:36.091000,GV58474,3300
126,oyiimkp39yggu,2021-05-25 00:26:13.682000,GV58475,1860
127,3s7xdyenkogw0ws9,2021-05-24 17:05:27.923000,GV58444,1800
128,oyiimkp2vb883,2021-05-24 17:16:29.682000,GV58446,560
129,h7nclkows8979,2021-05-24 17:20:42.577000,GV58447,1860
130,1xh60cker4kk420lma,2021-05-24 22:14:26.023000,GV58473,1800
131,h7nclkovock6a,2021-05-19 16:43:12.408000,GV57221,3300
132,oyiimkp2uj4f2,2021-05-24 18:46:02.895000,GV58464,2150
133,eut2nkozi2wbp,2021-05-22 17:54:55.039000,GV57964,5100
134,3iveimlkmcg8bwt,2021-05-24 19:06:03.166000,GV58465,2000
135,1xh60ckg8pkovp0pqi,2021-05-19 16:43:32.765000,GV57222,500
136,h7nclkoub7nr6,2021-05-19 16:43:47.104000,GV57223,2210
137,oyiimkp30fecv,2021-05-24 19:42:58.565000,GV58468,3300
138,1xh60cki7pkj2pu9tp,2021-05-22 18:28:26.810000,GV57976,3300
139,1xh60cki7pkj2ptdyj,2021-05-22 18:06:32.046000,GV57966,1860
140,1xh60ck1xmkm3nggmv,2021-05-19 16:55:27.467000,GV57224,1860
141,vojwml7lkmtidsq2,2021-05-24 20:44:29.821000,GV58472,2210
142,1xh60cki7pkj2pp7af,2021-05-22 18:09:19.098000,GV57968,560
143,eut2nkp01dgzh,2021-05-22 18:10:28.499000,GV57970,1800
144,oyiimkp5komww,2021-05-26 14:55:11.425000,GV58950,3350
145,1xh60ck1pzkp5hcgti,2021-05-26 14:56:08.450000,GV58951,1260
146,6os3gumkp82xh3r,2021-05-28 09:43:03.047000,GV59366,1260
147,6os3gumkpa4rjjg,2021-05-29 19:19:58.353000,GV59748,1100
148,1xh60cki7pkj2q0tsd,2021-05-31 08:27:24.092000,GV60071,3300
149,103k1mkpcn142e,2021-06-01 10:17:45.569000,GV60395,2210
150,1xh60ck9y8kjr5qyjf,2021-05-22 18:08:41.733000,GV57967,5150
151,1xh60ck1pzkp3by6kn,2021-05-25 00:59:11.578000,GV58476,560
152,h7nclkovc8qlm,2021-05-26 15:18:31.036000,GV58958,1460
153,1xh60cki7pkj2plt6q,2021-05-19 17:12:19.294000,GV57225,600
154,h7nclkovqjt8y,2021-05-19 17:29:11.184000,GV57228,1860
155,1xh60cki7pkj2pm5av,2021-05-26 15:03:17.577000,GV58952,1800
156,1xh60cki7pkj2ps8a6,2021-05-28 10:01:38.525000,GV59370,2800
157,1xh60ck1pzkp9p3r6i,2021-05-29 19:22:43.197000,GV59749,1460
158,1xh60ck1gpkp02cudv,2021-05-22 18:09:45.102000,GV57969,2150
159,rphnxnkpdvc5od,2021-06-01 10:12:41.957000,GV60394,600
160,h7nclkovq63wp,2021-05-19 17:20:53.204000,GV57226,1460
161,1xh60cki7pkj2pviga,2021-05-25 01:04:27.631000,GV58477,1700
162,oyiimkp5lnyfd,2021-05-26 15:09:40.313000,GV58953,500
163,oyiimkp6k56eu,2021-05-31 08:20:41.817000,GV60067,3390
164,1o8i1lkn0d3lk9,2021-05-28 10:03:43.748000,GV59371,1460
165,6os3gumkp9vfwwa,2021-05-29 20:23:45.822000,GV59750,1800
166,rphnxnkpdvit54,2021-06-01 10:12:05.519000,GV60393,2210
167,rphnxnkpexsjh7,2021-06-02 11:16:13.777000,GV60677,3390
168,rphnxnkpfehffr,2021-06-02 11:44:48.078000,GV60684,1460
169,oyiimkp3c3z4b,2021-05-25 01:08:22.322000,GV58478,500
170,12dtsnlknvsk7gi,2021-05-28 10:08:43.778000,GV59372,800
171,2m2ocnkmk2yxuw,2021-05-19 17:24:34.441000,GV57227,1800
172,oyiimkp5lntzy,2021-05-26 15:10:44.250000,GV58954,2740
173,oyiimkp5lcg3k,2021-05-26 15:11:35.311000,GV58955,2150
174,3s7xdyenkoie09rz,2021-05-22 18:11:26.384000,GV57971,2150
175,oyiimkp2r1qr1,2021-05-28 10:08:43.884000,GV59373,2150
176,1xh60cki7pkj2q0vih,2021-05-22 18:17:22.795000,GV57972,1800
177,eut2nkoyf6gej,2021-05-22 18:22:00.538000,GV57973,3300
178,6os3gumkp85o66o,2021-05-28 10:09:48.267000,GV59374,500
179,1xh60ck6rfkk2s3oks,2021-05-29 20:50:54.933000,GV59751,3300
180,rphnxnkpdmmpzo,2021-06-01 10:23:34.767000,GV60396,2150
181,rphnxnkpdqmt8b,2021-06-02 11:25:32.969000,GV60680,1860
182,eut2nkp19wiwd,2021-05-28 09:56:11.388000,GV59368,2150
183,40im09hmklal2we6,2021-05-26 15:13:02.435000,GV58957,2300
184,14csmkm3f3e4w,2021-05-19 05:24:26.502000,GV57083,5900
185,lbs7dymkojq1gqc,2021-05-22 18:23:19.850000,GV57974,1800
186,oyiimkp23my61,2021-05-25 01:16:29.266000,GV58479,1800
187,1xh60ck1pzkp84wcpk,2021-05-28 09:40:36.658000,GV59365,560
188,6os3gumkpab00a9,2021-05-29 22:10:41.118000,GV59752,660
189,1xh60cki7pkj2pras5,2021-05-31 08:37:54.438000,GV60073,3390
190,1dltlknhje4ir,2021-05-26 15:13:02.353000,GV58956,3300
191,oyiimkp5m0yut,2021-05-26 15:21:15.523000,GV58959,560
192,eut2nkp02svgo,2021-05-22 18:23:32.811000,GV57975,1000
193,h7nclkovqceem,2021-05-19 17:33:28.224000,GV57229,1260
194,1xh60cki7pkj2pqygy,2021-05-25 01:24:51.262000,GV58480,600
195,12dtsnlknvwazwl,2021-05-26 15:29:44.431000,GV58961,2150
196,1xh60ck65ykmyiswcg,2021-05-29 23:08:04.249000,GV59753,1800
197,6os3gumkp81rnq6,2021-05-28 10:11:23.857000,GV59375,2150
198,1xh60ckarvkkftygqu,2021-05-31 08:38:54.589000,GV60075,1800
199,h7nclkovqr7sn,2021-05-19 17:46:49.044000,GV57230,1400
200,eut2nkp02qr1x,2021-05-22 18:32:24.950000,GV57977,1460
201,eut2nkp004f50,2021-05-22 18:32:38.503000,GV57978,560
202,eut2nkp03azq7,2021-05-22 18:36:26.038000,GV57979,2050
203,oyiimkp3e9a52,2021-05-25 02:06:10.192000,GV58481,2210
204,1xh60ckho2kq6ar7ve,2021-05-26 15:30:49.883000,GV58962,1460
205,eut2nkp02ih6s,2021-05-22 19:05:24.416000,GV57986,660
206,3l0yflkllqda7e,2021-05-22 18:45:23.189000,GV57981,1860
207,1xh60ck9lzkjzsewyr,2021-05-19 17:51:04.318000,GV57231,660
208,bdzc8jlkno31osy,2021-05-25 02:09:00.943000,GV58482,1400
209,eut2nkp01g2oq,2021-05-22 18:45:07.954000,GV57980,560
210,eut2nkp038gjh,2021-05-22 18:51:18.636000,GV57982,600
211,48j1dtlknzilaag,2021-05-22 18:54:20.174000,GV57984,2210
212,1xh60ck9lzkk21iyui,2021-05-26 15:45:07.933000,GV58963,2650
213,6os3gumkp86d9rk,2021-05-28 10:33:14.719000,GV59377,2210
214,1dltlknhpv98j,2021-05-29 17:01:06.519000,GV59720,3300
215,h7nclkovre1sp,2021-05-19 17:53:52.822000,GV57232,3300
216,oyiimkp3ebcle,2021-05-25 02:16:38.406000,GV58483,2150
217,eut2nkp03x167,2021-05-22 18:54:16.836000,GV57983,560
218,h7nclkox1nwoq,2021-05-26 15:47:31.303000,GV58965,2150
219,1xh60cki7pkj2q078r,2021-05-26 15:47:16.231000,GV58964,2150
220,3l0yflklfvvlj7,2021-05-28 10:34:06.780000,GV59380,600
221,vpnqlkm75tr2b,2021-03-13 10:40:55.172000,GV43044,1990
222,h7nclkovr3mv1,2021-05-19 18:02:32.163000,GV57233,1800
223,eut2nkp0gaelg,2021-05-25 02:27:51.397000,GV58484,2210
224,eut2nkozlrlvi,2021-05-22 18:57:18.421000,GV57985,1860
225,oyiimkp5n5h1y,2021-05-26 15:53:33.962000,GV58966,1860
226,6os3gumkp85g2hf,2021-05-28 10:34:04.986000,GV59379,2210
227,6os3gumkpa048sw,2021-05-29 17:08:59.506000,GV59723,500
228,1dltlkniutuhq,2021-05-29 17:16:54.517000,GV59725,1860
229,1xh60ck9lzkjmfalew,2021-05-25 02:30:23.403000,GV58485,1260
230,6os3gumkp86o6lk,2021-05-28 10:33:24.277000,GV59378,1860
231,1xh60ckg8pkovs6esb,2021-05-19 18:11:13.231000,GV57234,1860
232,6os3gumkpa0hwlp,2021-05-29 17:19:49.536000,GV59728,1860
233,oyiimkp5nlx1d,2021-05-26 16:06:42.157000,GV58967,1800
234,12dtsnlknxhatay,2021-05-22 19:10:29.062000,GV57987,2210
235,h7nclkoucf862,2021-05-28 10:28:18.354000,GV59376,1200
236,6os3gumkpa3c172,2021-05-29 18:35:52.948000,GV59743,600
237,15ee6qlkkzqw7sr,2021-05-29 19:16:09.548000,GV59747,2210
238,3s7xdyenkof2nbyw,2021-05-31 08:39:25.836000,GV60076,1860
239,1xh60cki7pkj2prxye,2021-05-31 08:41:42.553000,GV60077,3300
240,vojwml7lkmwd02zo,2021-03-31 07:57:53.729000,GV46797,1200
241,rphnxnkpgcbrg2,2021-06-01 10:31:44.295000,GV60399,1
242,bdzc8jlknr2ljp7,2021-05-22 19:10:56.829000,GV57988,1800
243,1dltlknm2cybz,2021-05-19 18:24:52.048000,GV57235,1800
244,bdzc8jlknmu7uq7,2021-05-25 02:34:02.833000,GV58486,3300
245,oyiimkp2bi1ix,2021-05-25 02:36:00.343000,GV58487,1860
246,oyiimkp5noxep,2021-05-26 16:10:14.944000,GV58968,1060
247,1xh60cki7pkj2pragi,2021-05-26 16:10:19.142000,GV58969,3300
248,1o8i1lknaig5ba,2021-05-26 16:26:19.256000,GV58972,1460
249,oyiimkp5nwbwg,2021-05-26 16:27:00.839000,GV58973,1860
250,h7nclkoo56pau,2021-05-28 10:45:26.431000,GV59381,2150
251,1xh60ckg98knx0kgom,2021-05-29 14:42:39.304000,GV59698,1860
252,l9vmlklss7fj3,2021-05-19 18:29:25.906000,GV57236,560
253,h7nclkolbkysa,2021-05-22 19:16:08.473000,GV57990,1860
254,lbs7dymkokd3mgx,2021-05-22 19:15:21.117000,GV57989,660
255,eut2nkozrjvrb,2021-05-25 02:41:48.796000,GV58488,1200
256,1xh60ck9c6kjf39ly0,2021-05-26 16:16:52.800000,GV58970,1860
257,1xh60ck1pzkp2x8icg,2021-05-28 10:48:30.487000,GV59383,1860
258,43oagmkkqkvt7v,2021-05-25 02:56:44.877000,GV58489,2210
259,1xh60cki7pkj2pm507,2021-05-26 16:17:47.794000,GV58971,500
260,1xh60cki7pkj2pglfy,2021-05-19 18:40:37.878000,GV57237,660
261,1xh60cki7pkj2q1gp1,2021-03-23 14:56:25.169000,GV45302,1
262,1xh60ck1pzkp87c5r7,2021-05-28 10:50:42.592000,GV59384,500
263,6os3gumkp9uxy67,2021-05-29 14:42:25.547000,GV59697,1860
264,1xh60ck1pzkpa07hcw,2021-05-29 17:04:51.906000,GV59721,1260
265,1xh60ckjkxklxrtc3x,2021-05-29 17:08:25.526000,GV59722,1860
266,69tbscmkpcc8sks,2021-05-31 08:26:43.912000,GV60070,660
267,1xh60ckpnkpccmcgp,2021-05-31 08:30:05.480000,GV60072,199
268,1o8i1lkmxsqlm5,2021-04-01 10:37:29.828000,GV47043,1800
269,vojwml7lkmu7llgq,2021-03-29 06:57:08.593000,GV46386,1860
270,vpnqlkm5ui75f,2021-05-28 10:50:45.588000,GV59385,5900
271,h7nclkovt20zy,2021-05-19 18:41:21.376000,GV57238,1200
272,oyiimkp3ee091,2021-05-25 03:12:58.895000,GV58490,3300
273,6os3gumkpagqm7s,2021-05-30 00:56:12.040000,GV59754,2150
274,oyiimkp5oo7mo,2021-05-26 16:34:05.897000,GV58974,1800
275,oyiimkp3xnnel,2021-05-26 16:34:21.961000,GV58975,560
276,h7nclkolbkysa,2021-05-22 19:27:17.596000,GV57991,1
277,oyiimkp3gvsau,2021-05-25 03:20:29.976000,GV58491,2210
278,1xh60ckbddkk2ewwh4,2021-05-25 03:22:02.466000,GV58492,1200
279,1xh60cki7pkj2psagh,2021-05-31 08:49:08.905000,GV60080,1800
280,rphnxnkpdw360t,2021-06-01 10:28:07.839000,GV60398,2210
281,1xh60ckpnkpcczp4w,2021-05-31 08:44:20.306000,GV60078,3300
282,rphnxnkpf21dxb,2021-06-02 11:07:43.804000,GV60676,1860
283,6os3gumkpahdodc,2021-05-30 01:07:12.559000,GV59755,1460
284,eut2nkp0peejp,2021-05-25 03:24:56.284000,GV58493,3300
285,2m2ocnkmha8j0k,2021-05-19 18:41:46.239000,GV57239,2210
286,h7nclkottbfyl,2021-05-19 18:51:47.698000,GV57240,300
287,43oagmkks8bqjl,2021-05-26 16:36:14.597000,GV58976,3300
288,h7nclkooerpjj,2021-05-26 16:39:27.930000,GV58977,560
289,eut2nkozpel7k,2021-05-28 10:48:19.187000,GV59382,5900
290,69tbscmkpcd6x98,2021-05-31 08:47:41.375000,GV60079,199
291,bdzc8jlknpu3ki7,2021-05-30 01:16:49.960000,GV59757,1460
292,h7nclkov1doql,2021-05-30 01:18:51.594000,GV59758,1860
293,3s7xdyenkof2nbyw,2021-05-31 09:05:26.803000,GV60084,1460
294,1xh60ckpnkpce8vxx,2021-05-31 09:15:03.379000,GV60085,2210
295,1xh60ckarvkke5nhqh,2021-05-31 08:52:21.293000,GV60081,459
296,1xh60cki7pkj2pn7z0,2021-06-01 10:44:02.779000,GV60400,3300
297,rphnxnkpfdvz15,2021-06-02 11:28:11.830000,GV60681,1260
298,lbs7dymkokd3mgx,2021-05-22 19:46:58.393000,GV57993,660
299,oyiimkp3hil7c,2021-05-25 03:41:02.821000,GV58497,600
300,h7nclkosyf0fn,2021-05-19 18:57:55.663000,GV57241,1860
301,1xh60ckarvkkeqglfk,2021-05-25 03:29:35.240000,GV58494,560
302,1xh60ckarvkkeztlky,2021-05-26 16:39:56.938000,GV58978,1200
303,6os3gumkp85w6m5,2021-05-28 11:04:56.305000,GV59386,2050
304,h7nclkow80sp3,2021-05-30 01:15:04.814000,GV59756,500
305,1o8i1lkn4psfyf,2021-05-19 19:10:13.712000,GV57243,660
306,1xh60ckg8pkovu0ifm,2021-05-19 19:03:14.268000,GV57242,2210
307,bdzc8jlkntbbcb7,2021-05-22 19:52:31.076000,GV57995,3300
308,h7nclkovugqkw,2021-05-19 19:25:28.318000,GV57246,500
309,1o8i1lkmz8jtq1,2021-05-19 19:14:51.901000,GV57244,1400
310,eut2nkp06hgds,2021-05-22 20:13:15.713000,GV57997,600
311,h7nclkovubm73,2021-05-19 19:16:00.838000,GV57245,1260
312,eut2nkp05cuq7,2021-05-22 20:15:36.402000,GV57998,1860
313,h7nclkoq3q9qa,2021-05-19 06:52:28.080000,GV57105,660
314,eut2nkp0805ly,2021-05-22 20:49:26.543000,GV58000,2210
315,1dltlknkoznip,2021-05-19 19:36:18.112000,GV57247,300
316,1xh60ck1gpkp088bjb,2021-05-22 20:52:18.214000,GV58001,2210
317,1xh60cki7pkj2prkyf,2021-05-25 03:46:56.683000,GV58499,600
318,h7nclkos6tvut,2021-05-19 07:27:38.158000,GV57109,3300
319,xgxgm45lkl1sfuen,2021-05-19 07:33:46.784000,GV57110,1200
320,3s7xdyenkogyzprb,2021-05-19 19:40:32.063000,GV57248,1800
321,eut2nkp0er5n3,2021-05-22 23:57:59.052000,GV58003,2210
322,4s7jglkmlvhusd,2021-05-19 20:42:00.232000,GV57250,1800
323,14cslklze8wzg,2021-05-19 20:59:49.667000,GV57251,3300
324,1xh60ckg8pkovy9ul6,2021-05-19 21:23:37.789000,GV57253,1860
325,h7nclkovz8n7y,2021-05-19 21:37:02.513000,GV57254,1800
326,1xh60cki7pkj2pq4qz,2021-05-19 21:41:40.650000,GV57255,1860
327,h7nclkov9sl52,2021-05-19 09:54:17.270000,GV57142,2150
328,h7nclkow3ivue,2021-05-19 23:30:24.751000,GV57258,2210
329,1xh60cki7pkj2q22ey,2021-05-19 11:15:14.444000,GV57154,3300
330,h7nclkoviq5zz,2021-05-19 13:48:48.599000,GV57186,2210
331,h7nclkovjmmh8,2021-05-19 14:18:32.735000,GV57192,1860
332,h7nclkou6kg0c,2021-05-19 15:25:27.894000,GV57200,1260
333,h7nclkosxff5z,2021-05-19 15:42:32.952000,GV57206,3200
334,15ee6qlkl0zg0db,2021-05-19 16:09:28.920000,GV57211,1860
335,h7nclkovnu5j4,2021-05-19 16:18:15.956000,GV57214,1860
336,h7nclkovvu7ti,2021-05-19 19:56:48.001000,GV57249,1800
337,h7nclkow0o3wk,2021-05-19 22:10:50.231000,GV57256,1800
338,14cslklxt9wng,2021-05-19 23:49:14.754000,GV57259,1260
339,h7nclkovglf1x,2021-05-19 13:03:52.549000,GV57180,3300
340,vpnqlkmaoasmi,2021-04-02 06:21:08.024000,GV47215,1
341,1xh60ck7c8knn0hnmf,2021-05-19 13:52:16.140000,GV57187,1860
342,48j1dtlko36bh9k,2021-05-19 14:42:15.213000,GV57195,2210
343,1xh60cki7pkj2pc9x2,2021-05-19 15:33:37.557000,GV57201,900
344,3dupvskmknvh24ih,2021-05-19 16:02:41.634000,GV57210,0.01
345,1xh60ck9lzkjnn9ttk,2021-05-19 16:17:56.462000,GV57213,1260
346,3l0yflklf7i8uu,2021-05-19 21:02:10.780000,GV57252,2210
347,vpnqlkm8p0ctc,2021-05-19 23:27:35.778000,GV57257,1260
348,1xh60cki7pkj2pj8oa,2021-05-20 00:23:37.356000,GV57260,800
349,lbs7dymkoj8kys3,2021-05-19 13:54:46.124000,GV57189,1860
350,l9vmlklsct1ll,2021-05-19 16:09:59.924000,GV57212,2210
351,1xh60cki7pkj2px7xv,2021-05-19 16:22:53.149000,GV57217,2210
352,1xh60cki7pkj2pj8oa,2021-05-20 00:33:22.782000,GV57261,600
353,h7nclkovlyz1e,2021-05-19 15:20:38.871000,GV57199,1860
354,1o8i1lkmyzznii,2021-05-19 16:20:54.547000,GV57215,2750
355,h7nclkovc8qlm,2021-05-19 12:11:33.248000,GV57168,1460
356,h7nclkotqppve,2021-05-19 13:17:42.544000,GV57184,2210
